Date;Time;DoW;Detector;Direction;Detected
14-11-2007;08:45:00;Wed;D5;N;523
14-11-2007;08:45:00;Wed;D6;S;553
14-11-2007;08:45:00;Wed;D7;N;488
14-11-2007;08:45:00;Wed;D8;S;551
14-11-2007;08:45:00;Wed;D15;S;399
14-11-2007;08:45:00;Wed;D18;N;522
14-11-2007;09:00:00;Wed;D3;S;236
14-11-2007;09:00:00;Wed;D4;S;417
14-11-2007;09:00:00;Wed;D13;N;388
14-11-2007;09:00:00;Wed;D14;N;400
14-11-2007;09:00:00;Wed;D5;N;457
14-11-2007;09:00:00;Wed;D6;S;415
14-11-2007;09:00:00;Wed;D7;N;424
14-11-2007;09:00:00;Wed;D8;S;418
14-11-2007;09:00:00;Wed;D15;S;304
14-11-2007;09:00:00;Wed;D18;N;471
14-11-2007;09:15:00;Wed;D3;S;252
14-11-2007;09:15:00;Wed;D4;S;417
14-11-2007;09:15:00;Wed;D13;N;332
14-11-2007;09:15:00;Wed;D14;N;354
14-11-2007;09:15:00;Wed;D5;N;387
14-11-2007;09:15:00;Wed;D6;S;407
14-11-2007;09:15:00;Wed;D7;N;368
14-11-2007;09:15:00;Wed;D8;S;396
14-11-2007;09:15:00;Wed;D15;S;288
14-11-2007;09:15:00;Wed;D18;N;428
14-11-2007;09:30:00;Wed;D3;S;209
14-11-2007;09:30:00;Wed;D4;S;395
14-11-2007;09:30:00;Wed;D13;N;340
14-11-2007;09:30:00;Wed;D14;N;302
14-11-2007;09:30:00;Wed;D5;N;360
14-11-2007;09:30:00;Wed;D6;S;382
14-11-2007;09:30:00;Wed;D7;N;372
14-11-2007;09:30:00;Wed;D8;S;374
14-11-2007;09:30:00;Wed;D15;S;300
14-11-2007;09:30:00;Wed;D18;N;358
14-11-2007;09:45:00;Wed;D3;S;210
14-11-2007;09:45:00;Wed;D4;S;359
14-11-2007;09:45:00;Wed;D13;N;318
14-11-2007;09:45:00;Wed;D14;N;322
14-11-2007;09:45:00;Wed;D5;N;387
14-11-2007;09:45:00;Wed;D6;S;334
14-11-2007;09:45:00;Wed;D7;N;377
14-11-2007;09:45:00;Wed;D8;S;343
14-11-2007;09:45:00;Wed;D15;S;327
14-11-2007;09:45:00;Wed;D18;N;401
14-11-2007;10:00:00;Wed;D3;S;220
14-11-2007;10:00:00;Wed;D4;S;334
14-11-2007;10:00:00;Wed;D13;N;342
14-11-2007;10:00:00;Wed;D14;N;326
14-11-2007;10:00:00;Wed;D5;N;349
14-11-2007;10:00:00;Wed;D6;S;308
14-11-2007;10:00:00;Wed;D7;N;352
14-11-2007;10:00:00;Wed;D8;S;292
14-11-2007;10:00:00;Wed;D15;S;236
14-11-2007;10:00:00;Wed;D18;N;389
14-11-2007;10:15:00;Wed;D3;S;227
14-11-2007;10:15:00;Wed;D4;S;352
14-11-2007;10:15:00;Wed;D13;N;310
14-11-2007;10:15:00;Wed;D14;N;283
14-11-2007;10:15:00;Wed;D5;N;329
14-11-2007;10:15:00;Wed;D6;S;333
14-11-2007;10:15:00;Wed;D7;N;335
14-11-2007;10:15:00;Wed;D8;S;314
14-11-2007;10:15:00;Wed;D15;S;331
14-11-2007;10:15:00;Wed;D18;N;382
14-11-2007;10:30:00;Wed;D3;S;202
14-11-2007;10:30:00;Wed;D4;S;312
14-11-2007;10:30:00;Wed;D13;N;290
14-11-2007;10:30:00;Wed;D14;N;268
14-11-2007;10:30:00;Wed;D5;N;340
14-11-2007;10:30:00;Wed;D6;S;309
14-11-2007;10:30:00;Wed;D7;N;342
14-11-2007;10:30:00;Wed;D8;S;303
14-11-2007;10:30:00;Wed;D15;S;299
14-11-2007;10:30:00;Wed;D18;N;386
14-11-2007;10:45:00;Wed;D3;S;193
14-11-2007;10:45:00;Wed;D4;S;301
14-11-2007;10:45:00;Wed;D13;N;272
14-11-2007;10:45:00;Wed;D14;N;239
14-11-2007;10:45:00;Wed;D5;N;321
14-11-2007;10:45:00;Wed;D6;S;297
14-11-2007;10:45:00;Wed;D7;N;343
14-11-2007;10:45:00;Wed;D8;S;314
14-11-2007;10:45:00;Wed;D15;S;261
14-11-2007;10:45:00;Wed;D18;N;359
14-11-2007;11:00:00;Wed;D3;S;251
14-11-2007;11:00:00;Wed;D4;S;412
14-11-2007;11:00:00;Wed;D13;N;333
14-11-2007;11:00:00;Wed;D14;N;311
14-11-2007;11:00:00;Wed;D5;N;359
14-11-2007;11:00:00;Wed;D6;S;360
14-11-2007;11:00:00;Wed;D7;N;372
14-11-2007;11:00:00;Wed;D8;S;386
14-11-2007;11:00:00;Wed;D15;S;300
14-11-2007;11:00:00;Wed;D18;N;415
14-11-2007;11:15:00;Wed;D3;S;210
14-11-2007;11:15:00;Wed;D4;S;318
14-11-2007;11:15:00;Wed;D13;N;253
14-11-2007;11:15:00;Wed;D14;N;245
14-11-2007;11:15:00;Wed;D5;N;297
14-11-2007;11:15:00;Wed;D6;S;316
14-11-2007;11:15:00;Wed;D7;N;313
14-11-2007;11:15:00;Wed;D8;S;332
14-11-2007;11:15:00;Wed;D15;S;277
14-11-2007;11:15:00;Wed;D18;N;336
14-11-2007;11:30:00;Wed;D3;S;203
14-11-2007;11:30:00;Wed;D4;S;360
14-11-2007;11:30:00;Wed;D13;N;300
14-11-2007;11:30:00;Wed;D14;N;272
14-11-2007;11:30:00;Wed;D5;N;310
14-11-2007;11:30:00;Wed;D6;S;337
14-11-2007;11:30:00;Wed;D7;N;349
14-11-2007;11:30:00;Wed;D8;S;354
14-11-2007;11:30:00;Wed;D15;S;320
14-11-2007;11:30:00;Wed;D18;N;377
14-11-2007;11:45:00;Wed;D3;S;202
14-11-2007;11:45:00;Wed;D4;S;298
14-11-2007;11:45:00;Wed;D13;N;256
14-11-2007;11:45:00;Wed;D14;N;243
14-11-2007;11:45:00;Wed;D5;N;267
14-11-2007;11:45:00;Wed;D6;S;273
14-11-2007;11:45:00;Wed;D7;N;284
14-11-2007;11:45:00;Wed;D8;S;304
14-11-2007;11:45:00;Wed;D15;S;285
14-11-2007;11:45:00;Wed;D18;N;340
14-11-2007;12:00:00;Wed;D3;S;213
14-11-2007;12:00:00;Wed;D4;S;384
14-11-2007;12:00:00;Wed;D13;N;272
14-11-2007;12:00:00;Wed;D14;N;246
14-11-2007;12:00:00;Wed;D5;N;333
14-11-2007;12:00:00;Wed;D6;S;377
14-11-2007;12:00:00;Wed;D7;N;333
14-11-2007;12:00:00;Wed;D8;S;386
14-11-2007;12:00:00;Wed;D15;S;299
